Sororities,Spring 2005,Fall 2005,Spring 2006,Fall 2006,Spring 2007,Fall 2007,Spring 2008,Fall 2008,Spring 2009,Fall 2009,Spring 2010,Fall 2010,Spring 2011,Fall 2011,Spring 2012,Fall 2012,Spring 2013,Fall 2013,Spring 2014
Alpha Chi Omega,3.34,3.29,3.38,3.2334,3.3901,3.2876,3.3275,3.1951,3.3182,3.279,3.3547,3.2458,3.3037,3.2964,3.3012,3.2049,3.2999,3.3057,3.3191
Alpha Kappa Alpha,2.96,3.07,3.05,3.0112,2.88,2.9236,2.6179,3.1898,2.6795,,,,,,,2.9451,2.992,3.04,3.3095
Chi Omega,3.32,3.18,3.22,3.2008,3.2824,3.2244,3.2689,3.2171,3.3215,3.2457,3.3643,3.2271,3.3244,3.28,3.3846,3.2365,3.3155,3.1791,3.3078
Delta Delta Delta,3.18,3.14,3.24,3.2261,3.3219,3.1923,3.2837,3.074,3.1738,3.1695,3.1419,3.1534,3.2589,3.3053,3.4019,3.2688,3.4585,3.2945,3.3355
Delta Gamma,3.22,3.26,3.25,3.2149,3.3278,3.2667,3.2993,3.2867,3.4121,3.3675,3.4029,3.2503,3.3678,3.2434,3.3836,3.2961,3.4161,3.3104,3.421
Delta Sigma Theta,2.85,2.98,3.06,2.9633,2.8258,2.8455,2.617,2.8609,3.0026,3.3,3.2466,3.3758,2.8439,2.7686,3.0012,3.2097,3.4,,3.1616
Gamma Phi Beta,3.54,3.42,3.42,3.4132,3.4911,3.3252,3.4415,3.3853,3.4447,3.3512,3.4095,3.2573,3.3853,3.2694,3.3305,3.3035,3.4244,3.3299,3.419
Kappa Alpha Theta,3.39,3.33,3.39,3.3386,3.4706,3.3925,3.4519,3.3062,3.3856,3.2671,3.3453,3.2994,3.404,3.445,3.4716,3.4012,3.5057,3.4374,3.4699
Kappa Delta,3.44,3.37,3.47,3.3257,3.4644,3.3481,3.3745,3.3259,3.4062,3.3102,3.3934,3.3657,3.4276,3.3138,3.4189,3.3452,3.4878,3.4236,3.4812
Kappa Kappa Gamma,3.3,3.17,3.45,3.3074,3.3921,3.3067,3.4069,3.2933,3.4057,3.2337,3.3214,3.3198,3.3984,3.2835,3.3977,3.2323,3.457,3.3449,3.4764
Phi Mu,3.28,3.3,3.25,3.2756,3.207,3.2557,3.3118,3.199,3.2661,3.2651,3.2382,3.2079,3.1233,3.1844,3.2461,3.0832,3.2529,,
Pi Beta Phi,3.25,3.17,3.29,3.1458,3.2634,3.0692,3.2265,3.1611,3.2934,3.1027,3.1863,3.19,3.2567,3.2207,3.2564,3.2311,3.3372,3.2031,3.327
Sigma Gamma Rho,,,,,,,,,,,,,3.3431,3.0303,3.1928,3.4071,3.3927,3.2871,
Sigma Iota Alpha,,,,,,,,,,,,,,,,,2.8278,2.7397,3.2596
Zeta Phi Beta,,,,,,,,,,,,,,,,,,,
Alpha Epsilon Pi,3.44,3.43,3.38,3.25,3.177,3.087,3.2414,3.332,3.3849,3.2359,3.3702,3.1956,3.1235,3.3365,3.3752,3.2987,3.1997,3.3617,3.3697
Alpha Phi Alpha,2.85,2.98,2.94,2.5137,2.6852,2.8128,2.8753,2.9204,3.0795,3.1697,3.433,3.0759,3.2275,3.0797,2.625,2.9319,2.804,2.1794,2.2333
Alpha Tau Omega,,,,3.4857,2.9209,2.9603,3.0372,3.2251,3.23,3.3167,3.3002,3.379,3.3492,3.2557,3.2617,3.3058,3.4049,3.3255,3.3609
Beta Theta Pi,3.17,3.11,3.25,3.2449,3.3037,3.2492,3.3111,3.2785,3.3524,3.2258,3.2396,3.1761,3.294,3.28,3.4581,3.3442,3.2796,3.2318,3.3192
Chi Phi,,,,,3.2822,3.0692,3.1476,3.2123,3.299,3.3564,3.213,2.8675,3.0657,3.1728,2.8394,3.2837,3.1236,3.0101,3.2467
Delta Chi,3.13,3.04,3.19,3.3585,3.3288,2.8769,3.1747,3.134,3.1732,3.0891,3.2137,3.0116,3.04,3.2374,3.2844,3.0746,3.167,3.2532,3.2125
Delta Phi,3.12,3.01,3.23,3.1533,2.9774,3.2344,3.1475,3.1701,3.2081,3.2369,3.2328,3.2385,3.3232,3.2564,3.2782,3.2193,3.266,3.1073,3.2187
Kappa Alpha,3.2,2.96,3.07,2.9908,3.1854,2.9929,3.1555,3.1357,3.1442,3.1732,3.2579,3.0582,3.2015,3.0775,3.1867,3.0225,3.1986,3.0133,3.0528
Kappa Alpha Psi,,,,,,,,,,,,,,3.2123,3.0123,2.5456,2.6287,2.0917,2.4935
Kappa Delta Rho,3.04,2.92,3.18,2.974,3.0247,3.044,3.1153,3.0152,3.0517,3.0182,3.0518,3.0675,3.1607,3.0696,3.1893,3.1527,3.3268,3.255,3.262
Kappa Sigma,2.99,2.99,3.18,3.0398,3.0512,3.0819,3.1998,3.024,3.2475,3.101,3.2282,3.1827,3.23,3.3246,3.3433,3.2144,3.2043,3.2097,3.2242
Lambda Chi Alpha,2.93,2.96,2.94,2.8181,3.1297,3.0693,3.1091,3.0855,3.0825,2.9471,3.0357,2.9889,3.0902,3.0551,3.0957,3.0071,,,
Omega Psi Phi,,,,,,,,,,,,1.3436,2.0739,2.3214,,,,,2.8
Phi Beta Sigma,,,,,,,2.5236,2.2779,2.9771,2.3735,2.8465,3.02,2.5418,3.3067,,,,,
Phi Kappa Tau,3.08,3.06,3.11,3.134,3.2678,3.1215,3.364,3.1401,3.2024,3.0369,3.2949,3.1659,3.2149,3.1746,,,,,
Pi Kappa Alpha,2.89,2.96,3.01,2.8092,3.0555,2.7367,2.8178,2.6914,2.8186,2.7219,2.9665,2.9384,3.0158,3.0455,3.0501,2.8924,3.0938,3.0815,3.1986
Psi Upsilon,3.18,3.02,,,,,,,,,,,,,,,,,
Sigma Alpha Epsilon,,,,,,,,2.5931,2.4167,2.7165,3.0619,3.0608,3.0604,3.1256,3.2621,3.3368,3.1584,3.1238,3.0137
Sigma Chi,3.02,2.83,2.96,2.9769,2.8919,2.898,3.0148,3.1831,3.1191,3.0714,3.1732,3.1605,3.1613,3.2367,3.2512,3.1932,3.2263,3.1309,3.4216
Sigma Phi Epsilon,,,,,,,,,,,,3.3325,3.4612,3.3253,3.3739,3.3234,3.2897,3.2603,3.2116
Sigma Pi,2.93,2.86,3.03,2.9437,3.0772,2.9188,3.0068,2.8857,2.9079,2.9712,3.3034,2.9839,3.0719,3.1249,3.2023,3.296,3.3829,3.219,3.3378
Theta Delta Chi,3.16,3.18,3.29,3.1887,3.1253,2.9653,3.1084,3.0912,3.0353,3.1784,3.1972,2.8767,3.0097,3.1136,3.0667,,,,
All Greek GPA,3.33,3.27,3.34,3.29,3.35,3.2835,3.34,3.26,3.33,3.26,3.29,3.27,3.33,3.29,3.33,3.28,3.36,3.32,3.37
Average Male GPA,3.13,3.09,3.14,3.09,3.15,3.0983,3.17,3.11,3.17,3.1,3.16,3.11,3.17,3.17,3.2,3.13,3.19,3.18,3.21
All Undergrad GPA,3.24,3.19,3.25,3.19,3.26,3.1985,3.26,3.19,3.26,3.19,3.23,3.2,3.26,3.23,3.28,3.21,3.28,3.25,3.3
Average Sorority GPA,3.31,3.25,3.36,3.2641,3.2545,3.2616,3.319713,3.24537,3.341488,3.2575,3.3109,3.2537,3.3233,3.28,3.3636,3.2635,3.3917,3.3041,3.39
Average Fraternity GPA,3.06,3.02,3.11,3.0495,3.1077,3.0271,3.128612,3.08622,3.1503,3.0919,3.1914,3.0918,3.1705,3.18,3.2339,3.17,3.2354,3.1725,3.24
All Greek GPA,3.21,3.16,3.24,3.15,3.1916,3.1667,3.2341,3.1757,3.2515,3.1909,3.2593,3.1845,3.196,3.24,3.3038,3.2233,3.3241,3.25,3.32
